InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,GrossRevenue,DiscountAmount,NetRevenue,TotalOrderValue,Year,Month,YearMonth
637857,SKU_1347,Headphones,13,2021-01-03 14:00:00,21.07,65413,Australia,0.03,Credit Card,6.34,Apparel,Online,Not Returned,UPS,Berlin,Low,273.91,8.2173,265.6927,272.0327,2021,1,2021-01
327966,SKU_1442,Blue Pen,45,2021-01-03 15:00:00,10.08,40949,United Kingdom,0.45,PayPal,12.71,Apparel,In-store,Not Returned,Royal Mail,Paris,Low,453.6,204.12,249.48000000000002,262.19,2021,1,2021-01
137860,SKU_1690,Office Chair,48,2021-01-03 16:00:00,61.69,10614,Germany,0.14,Credit Card,10.5,Furniture,Online,Not Returned,FedEx,Rome,Medium,2961.12,414.5568,2546.5632,2557.0632,2021,1,2021-01
302630,SKU_1087,Office Chair,48,2021-01-03 17:00:00,85.42,44575,Australia,0.18,Credit Card,13.01,Furniture,Online,Not Returned,UPS,London,Low,4100.16,738.0287999999999,3362.1312,3375.1412,2021,1,2021-01
931769,SKU_1948,Wireless Mouse,36,2021-01-03 18:00:00,42.04,-1,Sweden,0.3,Credit Card,12.96,Apparel,In-store,Not Returned,FedEx,Berlin,High,1513.44,454.032,1059.4080000000001,1072.3680000000002,2021,1,2021-01
623225,SKU_1464,Office Chair,21,2021-01-03 19:00:00,57.72,93109,Netherlands,0.16,PayPal,29.22,Stationery,Online,Not Returned,Royal Mail,Rome,Medium,1212.12,193.9392,1018.1807999999999,1047.4008,2021,1,2021-01
768875,SKU_1776,White Mug,28,2021-01-03 20:00:00,94.31,69426,France,0.23,Credit Card,18.66,Apparel,In-store,Not Returned,UPS,Amsterdam,Low,2640.6800000000003,607.3564000000001,2033.3236000000002,2051.9836,2021,1,2021-01
695983,SKU_1493,Wireless Mouse,44,2021-01-03 21:00:00,96.06,22889,Germany,0.03,PayPal,22.33,Furniture,Online,Not Returned,UPS,Amsterdam,Medium,4226.64,126.7992,4099.8408,4122.1708,2021,1,2021-01
353078,SKU_1221,Notebook,38,2021-01-03 22:00:00,58.51,57501,Netherlands,0.19,PayPal,24.93,Furniture,In-store,Not Returned,FedEx,Rome,Low,2223.38,422.4422,1800.9378000000002,1825.8678000000002,2021,1,2021-01
866887,SKU_1996,Wireless Mouse,3,2021-01-03 23:00:00,61.47,63486,Netherlands,0.01,PayPal,14.8,Stationery,In-store,Not Returned,UPS,Paris,Low,184.41,1.8441,182.5659,197.3659,2021,1,2021-01
468893,SKU_1514,Desk Lamp,28,2021-01-04 00:00:00,53.27,22989,Australia,0.27,Credit Card,25.76,Apparel,Online,Not Returned,DHL,Berlin,Low,1491.5600000000002,402.72120000000007,1088.8388,1114.5988,2021,1,2021-01
255976,SKU_1117,Desk Lamp,45,2021-01-04 01:00:00,34.1,24764,Italy,0.21,Bank Transfer,7.71,Electronics,In-store,Not Returned,Royal Mail,London,Low,1534.5,322.245,1212.255,1219.9650000000001,2021,1,2021-01
930222,SKU_1977,Desk Lamp,43,2021-01-04 03:00:00,42.74,12810,Australia,0.06,PayPal,10.96,Accessories,Online,Not Returned,DHL,Rome,Medium,1837.8200000000002,110.26920000000001,1727.5508000000002,1738.5108000000002,2021,1,2021-01
955012,SKU_1186,USB Cable,43,2021-01-04 04:00:00,96.4,51329,United Kingdom,0.01,Bank Transfer,21.31,Electronics,Online,Not Returned,DHL,Rome,Low,4145.2,41.452,4103.748,4125.058,2021,1,2021-01
105636,SKU_1541,Wireless Mouse,33,2021-01-04 05:00:00,49.44,14669,Germany,0.48,Bank Transfer,10.17,Accessories,In-store,Not Returned,Royal Mail,Rome,Medium,1631.52,783.1296,848.3904,858.5604,2021,1,2021-01
361578,SKU_1578,White Mug,13,2021-01-04 06:00:00,37.48,73290,Netherlands,0.21,PayPal,21.47,Stationery,Online,Not Returned,DHL,Rome,High,487.23999999999995,102.32039999999999,384.91959999999995,406.3896,2021,1,2021-01
439273,SKU_1310,Wall Clock,41,2021-01-04 07:00:00,65.86,64940,Netherlands,0.23,Bank Transfer,22.9,Stationery,Online,Not Returned,UPS,Rome,High,2700.2599999999998,621.0598,2079.2001999999998,2102.1002,2021,1,2021-01
383816,SKU_1929,Headphones,45,2021-01-04 08:00:00,60.28,17942,Germany,0.19,Bank Transfer,29.25,Electronics,Online,Not Returned,Royal Mail,Berlin,High,2712.6,515.394,2197.206,2226.456,2021,1,2021-01
892244,SKU_1378,White Mug,37,2021-01-04 09:00:00,46.46,35237,Sweden,0.01,Bank Transfer,28.28,Electronics,Online,Not Returned,FedEx,Amsterdam,Low,1719.02,17.1902,1701.8298,1730.1098,2021,1,2021-01
327693,SKU_1810,Headphones,5,2021-01-04 10:00:00,60.77,51197,Portugal,0.07,Credit Card,12.7,Stationery,In-store,Not Returned,DHL,London,Low,303.85,21.269500000000004,282.58050000000003,295.2805,2021,1,2021-01
621393,SKU_1411,USB Cable,36,2021-01-04 11:00:00,67.84,70752,France,0.43,Credit Card,5.28,Apparel,Online,Not Returned,Royal Mail,London,Medium,2442.2400000000002,1050.1632000000002,1392.0768,1397.3568,2021,1,2021-01
100654,SKU_1420,Office Chair,40,2021-01-04 12:00:00,78.1,43575,United Kingdom,0.22,Credit Card,6.55,Furniture,In-store,Not Returned,UPS,London,Medium,3124.0,687.28,2436.7200000000003,2443.2700000000004,2021,1,2021-01
680222,SKU_1070,Desk Lamp,44,2021-01-04 15:00:00,94.71,29235,Norway,0.25,Bank Transfer,8.33,Furniture,Online,Not Returned,DHL,London,High,4167.24,1041.81,3125.43,3133.7599999999998,2021,1,2021-01
429478,SKU_1829,Notebook,43,2021-01-04 16:00:00,30.42,56225,France,0.0,Credit Card,14.17,Stationery,In-store,Not Returned,FedEx,Paris,Low,1308.0600000000002,0.0,1308.0600000000002,1322.2300000000002,2021,1,2021-01
727751,SKU_1109,Headphones,41,2021-01-04 17:00:00,55.62,96309,Netherlands,0.37,Bank Transfer,23.6,Furniture,Online,Not Returned,Royal Mail,Rome,Low,2280.42,843.7554,1436.6646,1460.2646,2021,1,2021-01
225851,SKU_1284,Wireless Mouse,17,2021-01-04 18:00:00,59.16,79605,Netherlands,0.32,Credit Card,16.09,Stationery,In-store,Not Returned,Royal Mail,London,Medium,1005.7199999999999,321.8304,683.8896,699.9796,2021,1,2021-01
653375,SKU_1882,Backpack,4,2021-01-04 19:00:00,10.13,30290,Norway,0.02,Bank Transfer,8.98,Electronics,In-store,Not Returned,DHL,Amsterdam,Low,40.52,0.8104000000000001,39.7096,48.6896,2021,1,2021-01
766978,SKU_1769,Backpack,19,2021-01-04 20:00:00,72.62,38274,Germany,0.0,Bank Transfer,8.48,Electronics,Online,Not Returned,UPS,London,High,1379.7800000000002,0.0,1379.7800000000002,1388.2600000000002,2021,1,2021-01
894878,SKU_1601,Wall Clock,34,2021-01-04 21:00:00,17.48,13800,United Kingdom,0.31,PayPal,23.13,Electronics,In-store,Returned,UPS,Paris,High,594.32,184.2392,410.08080000000007,433.21080000000006,2021,1,2021-01
988559,SKU_1872,USB Cable,17,2021-01-04 22:00:00,75.27,87240,Spain,0.29,Bank Transfer,12.68,Accessories,Online,Not Returned,DHL,Rome,Medium,1279.59,371.08109999999994,908.5089,921.1889,2021,1,2021-01
411011,SKU_1568,Wireless Mouse,25,2021-01-04 23:00:00,18.41,86966,Sweden,0.44,Credit Card,21.85,Accessories,Online,Not Returned,DHL,Amsterdam,High,460.25,202.51,257.74,279.59000000000003,2021,1,2021-01
544244,SKU_1952,Headphones,5,2021-01-05 00:00:00,31.62,-1,France,0.09,Credit Card,20.79,Electronics,In-store,Not Returned,UPS,London,Medium,158.1,14.229,143.87099999999998,164.66099999999997,2021,1,2021-01
946533,SKU_1297,Notebook,17,2021-01-05 01:00:00,33.81,26331,United Kingdom,0.11,Bank Transfer,25.24,Furniture,In-store,Not Returned,UPS,London,High,574.77,63.2247,511.5453,536.7853,2021,1,2021-01
258272,SKU_1498,T-shirt,11,2021-01-05 02:00:00,87.51,25135,Sweden,0.29,Credit Card,27.66,Furniture,Online,Not Returned,Royal Mail,Amsterdam,Medium,962.61,279.1569,683.4531,711.1130999999999,2021,1,2021-01
326179,SKU_1560,Headphones,16,2021-01-05 03:00:00,18.24,86279,Australia,0.34,PayPal,17.36,Furniture,Online,Not Returned,DHL,Paris,Medium,291.84,99.2256,192.6144,209.9744,2021,1,2021-01
974506,SKU_1696,Wireless Mouse,16,2021-01-05 04:00:00,64.64,85318,Spain,0.5,Credit Card,26.82,Furniture,Online,Not Returned,DHL,Berlin,Medium,1034.24,517.12,517.12,543.94,2021,1,2021-01
816825,SKU_1710,Notebook,6,2021-01-05 05:00:00,42.32,47544,Sweden,0.46,Credit Card,27.6,Electronics,In-store,Not Returned,UPS,Rome,Medium,253.92000000000002,116.80320000000002,137.1168,164.7168,2021,1,2021-01
602716,SKU_1529,Wall Clock,38,2021-01-05 06:00:00,27.11,13297,Germany,0.39,PayPal,19.2,Furniture,In-store,Not Returned,Royal Mail,London,Low,1030.18,401.77020000000005,628.4098,647.6098000000001,2021,1,2021-01
317508,SKU_1197,Headphones,39,2021-01-05 07:00:00,6.03,96155,Belgium,0.44,PayPal,9.86,Apparel,In-store,Not Returned,FedEx,Rome,Low,235.17000000000002,103.4748,131.6952,141.5552,2021,1,2021-01
742710,SKU_1506,Notebook,18,2021-01-05 08:00:00,76.42,87559,United States,0.25,Credit Card,16.99,Electronics,In-store,Not Returned,UPS,Paris,Medium,1375.56,343.89,1031.67,1048.66,2021,1,2021-01
450036,SKU_1488,Wall Clock,46,2021-01-05 09:00:00,18.4,58489,Belgium,0.2,Credit Card,10.03,Furniture,Online,Not Returned,Royal Mail,Rome,Medium,846.4,169.28,677.12,687.15,2021,1,2021-01
319631,SKU_1743,Backpack,3,2021-01-05 10:00:00,98.12,97103,United Kingdom,0.05,Bank Transfer,14.01,Furniture,In-store,Not Returned,FedEx,Rome,High,294.36,14.718000000000002,279.642,293.652,2021,1,2021-01
482188,SKU_1026,Headphones,18,2021-01-05 11:00:00,45.55,65070,Belgium,0.29,Bank Transfer,8.51,Furniture,Online,Not Returned,Royal Mail,London,Medium,819.9,237.771,582.129,590.639,2021,1,2021-01
139148,SKU_1117,T-shirt,46,2021-01-05 12:00:00,16.57,72367,Spain,0.18,Credit Card,26.7,Furniture,In-store,Not Returned,FedEx,Amsterdam,Low,762.22,137.1996,625.0204,651.7204,2021,1,2021-01
969360,SKU_1053,White Mug,7,2021-01-05 13:00:00,7.33,67573,Spain,0.43,PayPal,29.76,Apparel,Online,Not Returned,UPS,Amsterdam,High,51.31,22.0633,29.2467,59.0067,2021,1,2021-01
251770,SKU_1503,Wireless Mouse,11,2021-01-05 14:00:00,57.01,20612,Italy,0.06,Bank Transfer,13.53,Stationery,In-store,Not Returned,FedEx,Rome,High,627.11,37.626599999999996,589.4834000000001,603.0134,2021,1,2021-01
535686,SKU_1151,Desk Lamp,47,2021-01-05 15:00:00,37.72,68819,Norway,0.39,Credit Card,16.01,Apparel,In-store,Not Returned,DHL,Berlin,Low,1772.84,691.4076,1081.4324,1097.4424,2021,1,2021-01
585287,SKU_1736,Office Chair,15,2021-01-05 16:00:00,56.31,71522,Portugal,0.43,Bank Transfer,29.61,Apparel,In-store,Returned,FedEx,Paris,High,844.6500000000001,363.19950000000006,481.45050000000003,511.06050000000005,2021,1,2021-01
938092,SKU_1478,Wall Clock,37,2021-01-05 17:00:00,83.05,87190,Sweden,0.18,Bank Transfer,29.48,Apparel,Online,Not Returned,Royal Mail,Paris,High,3072.85,553.1129999999999,2519.737,2549.217,2021,1,2021-01
921882,SKU_1161,Wireless Mouse,14,2021-01-05 18:00:00,71.37,13648,United States,0.4,Bank Transfer,9.27,Electronics,In-store,Not Returned,FedEx,London,Low,999.1800000000001,399.672,599.508,608.778,2021,1,2021-01
811823,SKU_1661,White Mug,23,2021-01-05 19:00:00,82.88,73270,Norway,0.29,PayPal,22.89,Electronics,In-store,Returned,DHL,Amsterdam,High,1906.2399999999998,552.8095999999999,1353.4303999999997,1376.3203999999998,2021,1,2021-01
395901,SKU_1215,Notebook,36,2021-01-05 20:00:00,19.1,28682,Norway,0.4,Bank Transfer,20.85,Apparel,Online,Not Returned,DHL,London,Low,687.6,275.04,412.56,433.41,2021,1,2021-01
178012,SKU_1830,Blue Pen,17,2021-01-05 21:00:00,56.22,11587,Sweden,0.24,PayPal,24.8,Electronics,In-store,Not Returned,FedEx,Paris,Low,955.74,229.3776,726.3624,751.1623999999999,2021,1,2021-01
993182,SKU_1419,Notebook,22,2021-01-05 22:00:00,90.11,27822,United States,0.13,Bank Transfer,14.61,Accessories,Online,Returned,FedEx,Berlin,Medium,1982.42,257.7146,1724.7054,1739.3154,2021,1,2021-01
156116,SKU_1347,White Mug,24,2021-01-05 23:00:00,2.31,59094,Norway,0.26,Bank Transfer,13.33,Electronics,Online,Not Returned,FedEx,Rome,High,55.44,14.4144,41.0256,54.355599999999995,2021,1,2021-01
132152,SKU_1828,Blue Pen,17,2021-01-06 01:00:00,13.38,42558,Norway,0.09,Bank Transfer,26.67,Furniture,Online,Not Returned,Royal Mail,Berlin,Low,227.46,20.4714,206.98860000000002,233.65860000000004,2021,1,2021-01
206379,SKU_1849,Backpack,23,2021-01-06 02:00:00,80.67,33009,Netherlands,0.34,PayPal,25.96,Stationery,Online,Not Returned,DHL,Berlin,Medium,1855.41,630.8394000000001,1224.5706,1250.5306,2021,1,2021-01
326905,SKU_1553,Notebook,7,2021-01-06 03:00:00,15.59,52248,Germany,0.1,Credit Card,14.83,Electronics,In-store,Not Returned,DHL,Paris,High,109.13,10.913,98.217,113.047,2021,1,2021-01
120836,SKU_1351,Office Chair,1,2021-01-06 04:00:00,84.8,71683,Belgium,0.09,Bank Transfer,23.11,Furniture,Online,Not Returned,DHL,Amsterdam,High,84.8,7.632,77.16799999999999,100.27799999999999,2021,1,2021-01
321439,SKU_1672,USB Cable,27,2021-01-06 05:00:00,78.64,-1,United Kingdom,0.16,Credit Card,24.57,Electronics,In-store,Not Returned,DHL,London,Medium,2123.28,339.7248,1783.5552000000002,1808.1252000000002,2021,1,2021-01
286720,SKU_1585,USB Cable,34,2021-01-06 06:00:00,75.36,41378,Netherlands,0.41,Bank Transfer,22.78,Furniture,In-store,Not Returned,FedEx,Rome,Medium,2562.24,1050.5184,1511.7215999999999,1534.5015999999998,2021,1,2021-01
257403,SKU_1904,T-shirt,37,2021-01-06 07:00:00,59.79,95523,Norway,0.39,Credit Card,19.83,Furniture,In-store,Not Returned,Royal Mail,Amsterdam,Medium,2212.23,862.7697000000001,1349.4603,1369.2903,2021,1,2021-01
241835,SKU_1374,Blue Pen,45,2021-01-06 08:00:00,71.9,75450,Belgium,0.3,Credit Card,14.38,Apparel,In-store,Returned,DHL,Berlin,High,3235.5000000000005,970.6500000000001,2264.8500000000004,2279.2300000000005,2021,1,2021-01
955876,SKU_1536,Headphones,15,2021-01-06 09:00:00,61.22,59850,Belgium,0.11,Bank Transfer,24.75,Stationery,Online,Not Returned,FedEx,London,Medium,918.3,101.01299999999999,817.2869999999999,842.0369999999999,2021,1,2021-01
717397,SKU_1908,Office Chair,46,2021-01-06 10:00:00,17.79,75918,Portugal,0.05,PayPal,23.68,Apparel,In-store,Not Returned,FedEx,Rome,Medium,818.3399999999999,40.917,777.4229999999999,801.1029999999998,2021,1,2021-01
250259,SKU_1302,Desk Lamp,18,2021-01-06 11:00:00,32.44,26159,Portugal,0.03,Credit Card,11.34,Stationery,In-store,Not Returned,DHL,Paris,Medium,583.92,17.517599999999998,566.4024,577.7424,2021,1,2021-01
243029,SKU_1241,White Mug,4,2021-01-06 12:00:00,33.46,52566,Norway,0.2,PayPal,22.59,Accessories,In-store,Not Returned,DHL,Berlin,Medium,133.84,26.768,107.072,129.662,2021,1,2021-01
497595,SKU_1377,Office Chair,29,2021-01-06 13:00:00,42.81,98287,Italy,0.09,Credit Card,5.97,Furniture,Online,Returned,Royal Mail,Amsterdam,High,1241.49,111.7341,1129.7559,1135.7259000000001,2021,1,2021-01
706306,SKU_1684,Office Chair,23,2021-01-06 14:00:00,60.24,13408,Australia,0.32,Bank Transfer,11.98,Accessories,In-store,Not Returned,DHL,Paris,Low,1385.52,443.3664,942.1536,954.1336,2021,1,2021-01
747364,SKU_1388,Headphones,43,2021-01-06 15:00:00,15.59,-1,Sweden,0.18,PayPal,27.48,Apparel,Online,Not Returned,UPS,Unknown,Low,670.37,120.6666,549.7034,577.1834,2021,1,2021-01
782465,SKU_1286,White Mug,22,2021-01-06 16:00:00,95.32,72344,Portugal,0.25,PayPal,14.59,Furniture,Online,Not Returned,Royal Mail,Paris,Low,2097.04,524.26,1572.78,1587.37,2021,1,2021-01
494093,SKU_1158,T-shirt,20,2021-01-06 17:00:00,9.36,99860,Spain,0.13,Bank Transfer,13.81,Furniture,In-store,Not Returned,FedEx,London,Medium,187.2,24.336,162.86399999999998,176.67399999999998,2021,1,2021-01
803713,SKU_1353,White Mug,22,2021-01-06 18:00:00,52.0,45977,France,0.07,PayPal,10.14,Furniture,Online,Not Returned,FedEx,Berlin,Low,1144.0,80.08000000000001,1063.92,1074.0600000000002,2021,1,2021-01
970220,SKU_1729,Notebook,12,2021-01-06 19:00:00,4.82,67123,France,0.45,PayPal,18.11,Accessories,Online,Not Returned,UPS,Rome,Low,57.84,26.028000000000002,31.812,49.922,2021,1,2021-01
983302,SKU_1454,Headphones,45,2021-01-06 20:00:00,28.83,99666,Netherlands,0.42,Credit Card,23.42,Accessories,In-store,Not Returned,FedEx,London,High,1297.35,544.887,752.463,775.8829999999999,2021,1,2021-01
839945,SKU_1936,White Mug,35,2021-01-06 21:00:00,55.12,95563,Norway,0.13,Bank Transfer,22.79,Apparel,In-store,Not Returned,DHL,Paris,High,1929.1999999999998,250.796,1678.4039999999998,1701.1939999999997,2021,1,2021-01
445452,SKU_1626,Backpack,26,2021-01-06 22:00:00,64.8,88656,France,0.32,Bank Transfer,18.76,Electronics,In-store,Not Returned,DHL,Paris,High,1684.8,539.136,1145.664,1164.424,2021,1,2021-01
544783,SKU_1941,Wall Clock,14,2021-01-06 23:00:00,45.11,15210,Netherlands,0.14,PayPal,20.61,Furniture,Online,Not Returned,UPS,Berlin,Medium,631.54,88.4156,543.1243999999999,563.7343999999999,2021,1,2021-01
420057,SKU_1240,T-shirt,44,2021-01-07 00:00:00,63.68,28209,United States,0.08,PayPal,15.54,Apparel,Online,Not Returned,DHL,Berlin,High,2801.92,224.1536,2577.7664,2593.3064,2021,1,2021-01
626925,SKU_1819,T-shirt,20,2021-01-07 01:00:00,53.94,33570,Netherlands,0.36,PayPal,21.69,Accessories,Online,Not Returned,UPS,Amsterdam,Medium,1078.8,388.368,690.432,712.1220000000001,2021,1,2021-01
565994,SKU_1211,White Mug,36,2021-01-07 02:00:00,22.91,70102,Netherlands,0.25,Credit Card,11.35,Stationery,In-store,Not Returned,DHL,Rome,Low,824.76,206.19,618.5699999999999,629.92,2021,1,2021-01
862277,SKU_1597,Backpack,9,2021-01-07 04:00:00,2.09,15480,Belgium,0.18,PayPal,7.0,Accessories,Online,Not Returned,Royal Mail,Amsterdam,Low,18.81,3.3857999999999997,15.424199999999999,22.4242,2021,1,2021-01
856547,SKU_1132,Backpack,33,2021-01-07 05:00:00,2.68,57371,United States,0.06,PayPal,20.94,Electronics,Online,Not Returned,FedEx,Amsterdam,Low,88.44000000000001,5.306400000000001,83.13360000000002,104.07360000000001,2021,1,2021-01
461652,SKU_1779,Headphones,24,2021-01-07 06:00:00,40.15,51096,United Kingdom,0.17,PayPal,5.27,Electronics,In-store,Not Returned,DHL,Rome,Low,963.5999999999999,163.81199999999998,799.7879999999999,805.0579999999999,2021,1,2021-01
706752,SKU_1508,Headphones,9,2021-01-07 07:00:00,45.78,50832,Portugal,0.4,PayPal,24.65,Electronics,Online,Not Returned,FedEx,Berlin,High,412.02,164.808,247.212,271.86199999999997,2021,1,2021-01
390886,SKU_1276,Backpack,24,2021-01-07 08:00:00,83.69,63458,Portugal,0.1,Credit Card,20.88,Accessories,In-store,Not Returned,UPS,Paris,Medium,2008.56,200.856,1807.704,1828.584,2021,1,2021-01
636119,SKU_1264,Backpack,30,2021-01-07 09:00:00,3.97,44723,Netherlands,0.34,Bank Transfer,20.15,Furniture,Online,Not Returned,UPS,Paris,Medium,119.10000000000001,40.49400000000001,78.606,98.756,2021,1,2021-01
213768,SKU_1604,White Mug,5,2021-01-07 10:00:00,15.74,35149,Australia,0.31,Credit Card,9.49,Electronics,In-store,Not Returned,Royal Mail,Berlin,Medium,78.7,24.397000000000002,54.303,63.793,2021,1,2021-01
871271,SKU_1602,Blue Pen,8,2021-01-07 11:00:00,44.73,77597,France,0.0,Credit Card,13.07,Electronics,Online,Not Returned,Royal Mail,Rome,Medium,357.84,0.0,357.84,370.90999999999997,2021,1,2021-01
977311,SKU_1359,Backpack,45,2021-01-07 13:00:00,81.93,45754,Spain,0.13,Credit Card,20.18,Stationery,In-store,Not Returned,DHL,Amsterdam,Low,3686.8500000000004,479.29050000000007,3207.5595000000003,3227.7395,2021,1,2021-01
974802,SKU_1663,White Mug,20,2021-01-07 14:00:00,71.3,42012,France,0.18,Credit Card,24.87,Apparel,Online,Not Returned,Royal Mail,London,Low,1426.0,256.68,1169.32,1194.1899999999998,2021,1,2021-01
729112,SKU_1666,Office Chair,15,2021-01-07 15:00:00,95.92,59194,Norway,0.14,PayPal,7.23,Stationery,In-store,Not Returned,Royal Mail,Rome,High,1438.8,201.43200000000002,1237.368,1244.598,2021,1,2021-01
188741,SKU_1135,Office Chair,22,2021-01-07 16:00:00,21.22,86976,Netherlands,0.17,Credit Card,25.7,Furniture,In-store,Not Returned,FedEx,London,High,466.84,79.36280000000001,387.4772,413.17719999999997,2021,1,2021-01
118830,SKU_1764,Wall Clock,32,2021-01-07 17:00:00,35.49,69696,United States,0.3,Bank Transfer,25.89,Apparel,Online,Not Returned,UPS,Paris,Medium,1135.68,340.704,794.9760000000001,820.8660000000001,2021,1,2021-01
417188,SKU_1427,Blue Pen,6,2021-01-07 18:00:00,33.9,47966,Spain,0.15,PayPal,14.14,Accessories,In-store,Not Returned,UPS,Berlin,Medium,203.39999999999998,30.509999999999994,172.89,187.02999999999997,2021,1,2021-01
960380,SKU_1829,Wireless Mouse,38,2021-01-07 19:00:00,45.1,75346,Italy,0.2,Bank Transfer,18.47,Furniture,Online,Not Returned,FedEx,London,Low,1713.8,342.76,1371.04,1389.51,2021,1,2021-01
169202,SKU_1028,T-shirt,47,2021-01-07 20:00:00,12.23,39258,Spain,0.21,Credit Card,10.23,Apparel,Online,Not Returned,FedEx,Berlin,Medium,574.8100000000001,120.71010000000001,454.09990000000005,464.32990000000007,2021,1,2021-01
399189,SKU_1594,Wall Clock,33,2021-01-07 21:00:00,74.79,98490,Portugal,0.4,PayPal,19.78,Furniture,In-store,Not Returned,UPS,London,Low,2468.07,987.2280000000001,1480.842,1500.622,2021,1,2021-01
317394,SKU_1329,Headphones,11,2021-01-07 22:00:00,5.05,82437,France,0.24,Bank Transfer,11.98,Furniture,Online,Not Returned,UPS,Rome,Low,55.55,13.331999999999999,42.217999999999996,54.19799999999999,2021,1,2021-01
610473,SKU_1919,Blue Pen,28,2021-01-07 23:00:00,67.37,50468,Netherlands,0.19,Credit Card,10.16,Accessories,In-store,Not Returned,FedEx,London,High,1886.3600000000001,358.40840000000003,1527.9516,1538.1116000000002,2021,1,2021-01
993941,SKU_1503,White Mug,46,2021-01-08 01:00:00,85.17,50756,Germany,0.23,Credit Card,27.99,Stationery,In-store,Not Returned,DHL,Paris,Low,3917.82,901.0986,3016.7214000000004,3044.7114,2021,1,2021-01
257699,SKU_1827,Office Chair,49,2021-01-08 02:00:00,30.76,99294,United States,0.46,PayPal,12.49,Accessories,In-store,Not Returned,Royal Mail,London,Medium,1507.24,693.3304,813.9096,826.3996,2021,1,2021-01
377342,SKU_1103,Office Chair,3,2021-01-08 03:00:00,37.88,12990,Norway,0.03,Bank Transfer,18.6,Stationery,In-store,Not Returned,Royal Mail,Amsterdam,Low,113.64000000000001,3.4092000000000002,110.23080000000002,128.8308,2021,1,2021-01
955953,SKU_1926,Office Chair,29,2021-01-08 04:00:00,28.57,86264,United States,0.09,Bank Transfer,20.91,Electronics,Online,Returned,FedEx,London,Medium,828.53,74.56769999999999,753.9623,774.8723,2021,1,2021-01
604655,SKU_1493,Desk Lamp,11,2021-01-08 05:00:00,25.14,47245,United Kingdom,0.4,PayPal,11.91,Apparel,In-store,Not Returned,Royal Mail,Paris,High,276.54,110.61600000000001,165.924,177.834,2021,1,2021-01
730759,SKU_1370,Notebook,37,2021-01-08 06:00:00,52.73,37669,Spain,0.14,Credit Card,25.73,Accessories,In-store,Not Returned,Royal Mail,Amsterdam,Medium,1951.01,273.14140000000003,1677.8686,1703.5986,2021,1,2021-01
915907,SKU_1387,Wireless Mouse,45,2021-01-08 07:00:00,36.87,70941,Norway,0.06,Credit Card,9.14,Apparel,Online,Not Returned,FedEx,Amsterdam,High,1659.1499999999999,99.54899999999999,1559.6009999999999,1568.741,2021,1,2021-01
336824,SKU_1744,Wall Clock,43,2021-01-08 08:00:00,63.6,28619,United Kingdom,0.2,Bank Transfer,18.52,Apparel,Online,Not Returned,FedEx,Amsterdam,High,2734.8,546.96,2187.84,2206.36,2021,1,2021-01
119403,SKU_1734,Wall Clock,15,2021-01-08 10:00:00,42.76,-1,Sweden,0.41,PayPal,26.72,Apparel,In-store,Not Returned,UPS,Paris,Low,641.4,262.974,378.426,405.14599999999996,2021,1,2021-01
103681,SKU_1904,Backpack,4,2021-01-08 11:00:00,29.74,20025,Sweden,0.44,Bank Transfer,24.37,Apparel,In-store,Not Returned,DHL,Amsterdam,High,118.96,52.3424,66.6176,90.9876,2021,1,2021-01
453699,SKU_1089,Wall Clock,32,2021-01-08 12:00:00,48.3,12247,United Kingdom,0.06,Credit Card,8.74,Furniture,In-store,Returned,Royal Mail,Berlin,Medium,1545.6,92.73599999999999,1452.864,1461.604,2021,1,2021-01
979554,SKU_1332,T-shirt,43,2021-01-08 13:00:00,73.72,49104,United States,0.48,PayPal,23.02,Apparel,In-store,Not Returned,Royal Mail,Berlin,Medium,3169.96,1521.5808,1648.3792,1671.3992,2021,1,2021-01
739548,SKU_1376,Blue Pen,34,2021-01-08 14:00:00,65.7,30652,Spain,0.4,PayPal,26.26,Furniture,In-store,Not Returned,UPS,Rome,Medium,2233.8,893.5200000000001,1340.2800000000002,1366.5400000000002,2021,1,2021-01
797652,SKU_1239,USB Cable,10,2021-01-08 15:00:00,12.43,11404,Italy,0.2,Bank Transfer,7.28,Electronics,Online,Not Returned,FedEx,Amsterdam,Low,124.3,24.86,99.44,106.72,2021,1,2021-01
729674,SKU_1729,T-shirt,30,2021-01-08 16:00:00,21.43,72044,United Kingdom,0.18,Bank Transfer,5.55,Furniture,Online,Returned,DHL,Berlin,Low,642.9,115.722,527.178,532.728,2021,1,2021-01
857666,SKU_1181,White Mug,41,2021-01-08 17:00:00,34.31,43399,Italy,0.22,PayPal,27.26,Accessories,In-store,Not Returned,DHL,Paris,High,1406.71,309.4762,1097.2338,1124.4938,2021,1,2021-01
498845,SKU_1256,Wall Clock,18,2021-01-08 18:00:00,60.33,41563,Germany,0.03,PayPal,14.81,Apparel,In-store,Not Returned,UPS,London,Medium,1085.94,32.5782,1053.3618000000001,1068.1718,2021,1,2021-01
